datetime,open,high,low,close,volume
2006-01-02,2836.8,2849.45,2825.4,2835.95,0.0
2006-01-03,2835.95,2887.2,2832.05,2883.35,0.0
2006-01-04,2883.0,2909.35,2883.0,2904.4,0.0
2006-01-05,2904.45,2916.2,2884.8,2899.85,0.0
2006-01-06,2899.85,2921.7,2877.25,2914.0,0.0
2006-01-09,2913.35,2927.25,2898.25,2910.1,0.0
2006-01-10,2910.15,2913.05,2865.6,2870.8,0.0
2006-01-12,2869.35,2869.35,2824.0,2850.7,0.0
2006-01-13,2851.4,2878.35,2846.7,2850.55,0.0
2006-01-16,2851.35,2855.7,2824.05,2833.1,0.0
2006-01-17,2833.8,2861.25,2820.65,2829.1,0.0
2006-01-18,2809.9,2840.1,2783.85,2809.2,0.0
2006-01-19,2811.1,2875.95,2811.1,2870.85,0.0
2006-01-20,2870.8,2912.8,2870.8,2900.95,0.0
2006-01-23,2900.3,2900.3,2870.95,2884.05,0.0
2006-01-24,2886.35,2914.25,2885.75,2908.0,0.0
2006-01-25,2908.75,2949.1,2871.25,2940.35,0.0
2006-01-27,2941.9,2989.7,2941.9,2982.75,0.0
2006-01-30,2983.3,3002.2,2963.65,2974.5,0.0
2006-01-31,2968.95,3005.1,2968.85,3001.1,0.0
2006-02-01,3001.3,3011.05,2960.9,2971.55,0.0
2006-02-02,2972.2,2997.25,2957.55,2967.45,0.0
2006-02-03,2968.1,2973.9,2931.85,2940.6,0.0
2006-02-06,2940.95,3009.45,2928.1,3000.45,0.0
2006-02-07,3001.15,3025.1,2991.25,3020.1,0.0
2006-02-08,3018.2,3021.25,2984.9,3008.95,0.0
2006-02-10,3009.15,3031.75,3009.1,3027.55,0.0
2006-02-13,3026.15,3042.75,3018.5,3041.15,0.0
2006-02-14,3040.25,3051.7,3009.9,3017.55,0.0
2006-02-15,3001.4,3048.8,2995.3,3022.2,0.0
2006-02-16,3023.1,3036.65,3013.7,3021.6,0.0
2006-02-17,3021.65,3038.8,2976.7,2981.5,0.0
2006-02-20,2982.35,3010.65,2955.85,3005.85,0.0
2006-02-21,3008.55,3042.05,3008.55,3035.5,0.0
2006-02-22,3035.65,3055.65,3032.5,3050.8,0.0
2006-02-23,3050.85,3078.4,3050.85,3062.1,0.0
2006-02-24,3061.7,3072.0,3041.6,3050.05,0.0
2006-02-27,3050.3,3070.35,3050.3,3067.45,0.0
2006-02-28,3067.9,3090.3,3031.8,3074.7,0.0
2006-03-01,3074.6,3127.25,3064.0,3123.1,0.0
2006-03-02,3124.25,3170.35,3124.25,3150.7,0.0
2006-03-03,3151.3,3167.2,3132.6,3147.35,0.0
2006-03-06,3147.25,3194.0,3147.2,3190.4,0.0
2006-03-07,3190.45,3192.95,3166.75,3182.8,0.0
2006-03-08,3183.45,3187.5,3107.9,3116.7,0.0
2006-03-09,3116.75,3132.65,3069.85,3129.1,0.0
2006-03-10,3129.05,3189.35,3128.6,3183.9,0.0
2006-03-13,3184.1,3221.3,3174.05,3202.65,0.0
2006-03-14,3197.2,3223.45,3184.05,3195.35,0.0
2006-03-16,3197.3,3230.4,3196.95,3226.6,0.0
2006-03-17,3226.9,3258.3,3226.9,3234.05,0.0
2006-03-20,3234.2,3268.25,3234.2,3265.65,0.0
2006-03-21,3264.65,3292.15,3247.25,3262.3,0.0
2006-03-22,3263.35,3267.95,3221.95,3240.15,0.0
2006-03-23,3240.85,3265.6,3225.2,3247.15,0.0
2006-03-24,3247.15,3286.2,3242.6,3279.8,0.0
2006-03-27,3283.4,3327.05,3280.8,3321.65,0.0
2006-03-28,3321.45,3344.5,3311.85,3325.0,0.0
2006-03-29,3324.85,3359.8,3324.8,3354.2,0.0
2006-03-30,3354.25,3433.85,3354.25,3418.95,0.0
2006-03-31,3420.55,3425.45,3381.9,3402.55,0.0
2006-04-03,3403.15,3478.25,3402.45,3473.3,0.0
2006-04-04,3473.1,3508.25,3463.85,3483.15,0.0
2006-04-05,3483.15,3513.95,3483.15,3510.9,0.0
2006-04-07,3525.6,3555.5,3445.9,3454.8,0.0
2006-04-10,3455.0,3489.05,3430.4,3478.45,0.0
2006-04-12,3479.1,3484.65,3366.75,3380.0,0.0
2006-04-13,3380.4,3391.05,3290.35,3345.5,0.0
2006-04-17,3342.15,3433.65,3342.15,3425.15,0.0
2006-04-18,3429.0,3521.95,3429.0,3518.1,0.0
2006-04-19,3523.65,3570.5,3502.75,3535.85,0.0
2006-04-20,3539.8,3578.35,3527.25,3573.5,0.0
2006-04-21,3576.75,3592.75,3517.1,3573.05,0.0
2006-04-24,3572.8,3585.35,3536.3,3548.9,0.0
2006-04-25,3548.8,3552.65,3433.55,3462.65,0.0
2006-04-26,3462.65,3562.3,3454.1,3555.75,0.0
2006-04-27,3554.7,3598.95,3492.75,3508.1,0.0
2006-04-28,3507.45,3517.65,3342.85,3508.35,0.0
2006-04-29,3508.35,3565.75,3508.35,3557.6,0.0
2006-05-02,3557.55,3622.05,3556.9,3605.45,0.0
2006-05-03,3604.4,3640.8,3581.4,3634.25,0.0
2006-05-04,3630.65,3674.5,3621.55,3648.4,0.0
2006-05-05,3649.45,3676.55,3639.55,3663.95,0.0
2006-05-08,3668.65,3708.55,3668.65,3693.15,0.0
2006-05-09,3694.65,3725.4,3655.65,3720.55,0.0
